idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
WSG84;48.928471577175166;2.5171339636981704,CRS3035RES1000mN2896000E3773000,CRS3035RES1000mN2896000E3773000,0,0,93071,115,35,8,7,9,28,5,2063823.4,2630,6,29,11,16,5,3,0,0,4,4,10,16,9,21,28,13,6,4,0
WSG84;48.9286540636296;2.519851104543557,CRS3035RES1000mN2896000E3773000,CRS3035RES1000mN2896000E3773000,0,0,93071,252.5,105,17,34,10,71,10,5806819.1,7755,41,64,44,16,11,33,1,0,15,9,20.5,18,15,64,47,31,24,9,0
WSG84;48.928836484058;2.522568263655263,CRS3035RES1000mN2896000E3774000,CRS3035RES1000mN2896000E3774000,0,0,93071,74.5,20,5,3,6,16,3,1219466.3,1562,2,18,8,2,4,6,0,0,7,2,6,13.5,5,14,17,4,5,1,0
WSG84;48.92901883845966;2.525285441026944,CRS3035RES1000mN2896000E3774000,CRS3035RES1000mN2896000E3774000,0,0,93071,162,62,16,18,8,40,5,3276390.9,3894,19,43,34,22,5,1,0,0,8,8,8,16,12,32,36,12,19,11,0
WSG84;48.92920112683385;2.52800263665224,CRS3035RES1000mN2896000E3774000,CRS3035RES1000mN2896000E3774000,0,0,93071,253.5,91,12,23,12,74,10,5706024.6,7490,17,74,39,26,14,11,1,0,9,9,22,28.5,17,37,64,35,26,6,0
WSG84;48.92938334917986;2.5307198505248,CRS3035RES1000mN2896000E3774000,CRS3035RES1000mN2896000E3774000,0,0,93071,211,76,7,15,12,74,4,5308102.9,6725,0,76,35,18,19,4,0,0,12,8,14,21,13,22,44,32,29,16,0
WSG84;48.92956550549697;2.5334370826382733,CRS3035RES1000mN2896000E3774000,CRS3035RES1000mN2896000E3774000,0,0,93071,240.5,95,9,28,8,87,5,5726309.9,7713,3,92,42,30,12,11,0,0,5,5,16,25,14.5,34,56,38,25,22,0
WSG84;48.92974759578446;2.5361543329863085,CRS3035RES1000mN2896000E3775000,CRS3035RES200mN2896200E3775000,0,0,93071,250.5,81,16,17,18,58,7,5414641.2,6542,19,62,15,36,16,14,0,0,12,6,21.5,24,22,49,50,30,24,12,0
WSG84;48.92992962004165;2.5388716015625468,CRS3035RES1000mN2896000E3775000,CRS3035RES200mN2896200E3775200,0,0,9307193046,425.5,154,44,46,25,86,17,8641225,9352,77,77,59,25,47,23,0,0,20,9,38,42.5,26,99,91,48,39,13,0
WSG84;48.93011157826781;2.5415888883606406,CRS3035RES1000mN2896000E3775000,CRS3035RES200mN2896200E3775400,0,0,9304693071,222,83,6,14,10,69,7,6172410.5,7420,3,80,26,26,21,10,0,0,2,5,7,23,21,17,57,32,37,21,0
WSG84;48.93029347046222;2.5443061933742324,CRS3035RES1000mN2896000E3775000,CRS3035RES200mN2896200E3775600,0,0,93046,439,132,25,26,28,36,24,8544526.9,9216,94,38,8,20,6,98,0,94,55,17,55,45,20,98,88,26,24,10,1
WSG84;48.93047529662415;2.547023516596967,CRS3035RES1000mN2896000E3775000,CRS3035RES200mN2896200E3775800,0,0,93046,279,100,9,23,14,66,7,6637058.1,7740,28,72,32,19,16,32,1,20,16,7,23.5,20.5,23,49,60,45,25,9,1
WSG84;48.93065705675291;2.5497408580224885,CRS3035RES1000mN2896000E3776000,CRS3035RES1000mN2896000E3776000,0,0,93046,345,133,10,32,9,114,18,8760465.3,10941,71,62,26,24,74,9,0,0,31,5,25,27,21,85,45,51,37,18,0
WSG84;48.930838750847805;2.5524582176444466,CRS3035RES1000mN2896000E3776000,CRS3035RES1000mN2896000E3776000,0,0,93046,225,74,8,15,11,61,6,5604960.3,6373,2,72,31,22,10,10,1,4,13.5,7,15.5,27,19,39,45,25,18,16,0
WSG84;48.93102037890808;2.5551755954564808,CRS3035RES1000mN2896000E3776000,CRS3035RES1000mN2896000E3776000,0,0,93046,150,54,10,16,12,15,9,2863218.7,3632,37,17,6,6,2,39,1,36,9,6,11,18,14,29,32,19,11,1,0
WSG84;48.931201940933065;2.5578929914522406,CRS3035RES1000mN2896000E3776000,CRS3035RES1000mN2896000E3776000,1,0,93046,5,1.5,0.4,0.4,0.2,0.8,0.2,92977.8,128.3,0.4,1.1,0.7,0.1,0.3,0.4,0,0.1,0.3,0.2,0.3,0.7,0.5,1.2,1.4,0.1,0.2,0.1,0
WSG84;48.93174623078903;2.566045288478283,CRS3035RES1000mN2896000E3777000,CRS3035RES1000mN2896000E3777000,0,0,93074,45,30,2,21,1,18,3,1018197.3,1361,29,1,0,1,1,28,0,0,2,0,1,2,2,14,16,5,2,1,0
WSG84;48.93192752866565;2.5687627571453646,CRS3035RES1000mN2896000E3777000,CRS3035RES1000mN2896000E3777000,1,0,93074,16,5.9,0.4,0.8,0,5.1,0.8,455043.6,725.1,0.4,5.5,0.8,0,4.2,0.9,0,0,0.4,0,1.2,1.7,1.3,2.5,3.4,3.4,1.7,0.4,0
WSG84;48.93210876050342;2.5714802439643836,CRS3035RES1000mN2896000E3777000,CRS3035RES1000mN2896000E3777000,0,0,93074,217.5,77,8,18,10,72,7,5183526.6,6404,0,77,12,38,24,3,0,0,6,3,17,25.5,20,30,45,35,23,13,0
WSG84;48.932289926301614;2.574197748928984,CRS3035RES1000mN2896000E3777000,CRS3035RES1000mN2896000E3777000,0,0,93074,214,76,3,10,10,69,8,5438616.2,6902,6,70,20,24,17,15,0,0,5,1,11,24,18,30,45,41,34,5,0
WSG84;48.93247102605953;2.576915272032808,CRS3035RES1000mN2896000E3778000,CRS3035RES1000mN2896000E3778000,0,0,93074,116.5,38,5,7,8,31,2,2788474.2,3133,7,31,7,12,15,4,0,0,7,2.5,7,11,14,20,24,17,7,7,0
WSG84;48.93265205977645;2.579632813269491,CRS3035RES1000mN2896000E3778000,CRS3035RES1000mN2896000E3778000,1,0,93074,13,5.6,0,1.6,0.3,3.4,0.8,315661.5,419.7,2.4,3.2,0.3,1.6,0.5,3.2,0,0,0,0,0.3,0.8,2.1,1.6,1.3,3.4,2.7,0.8,0
WSG84;48.93409795195091;2.601373795182877,CRS3035RES1000mN2896000E3779000,CRS3035RES1000mN2896000E3779000,1,0,7751493074,21,9.7,0,3.4,0.8,8.8,0.4,584093.7,799.3,0.4,9.3,0,5.5,3.8,0,0.4,0,0.4,0,0.8,0.8,1.7,2.1,4.2,5.5,4.2,1.3,0
WSG84;48.91750837476106;2.3294176274263974,CRS3035RES1000mN2896000E3759000,CRS3035RES1000mN2896000E3759000,0,0,9307093039,584.5,299,129,160,23,8,43,8963877.2,12649,298,1,155,126,17,0,1,263,31,17,31.5,38,22,117,105,85,105,33,0
WSG84;48.91769542305457;2.3321335892146933,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93070,626.5,277,86,106,17,40,57,11334656.2,15956,258,19,46,207,0,22,2,192,20,12,32,73,50.5,112,131,96,76,24,0
WSG84;48.91788240536928;2.334849569709329,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93070,49,29,4,16,0,17,2,946483.3,1448,26,3,3,26,0,0,0,0,2,1,2,1,0,15,5,10,5,8,0
WSG84;48.91806932170446;2.3375655689039747,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,9307093066,183,82,11,36,6,46,7,4741367.7,5045,82,0,0,4,0,78,0,0,13,3,13,10,12,47,44,25,14,2,0
WSG84;48.91825617205936;2.3402815867923015,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,1166,439,127,144,63,101,66,21811482.4,23465,426,13,13,0,163,263,0,166,65.5,45,107,110.5,95,278,264,113,63,8,17
