siren,dateCreationEtablissement,denominationUniteLegale,isOnePerson,X,Y,appearances
313160103,1900-01-01,,True,48.954935893,2.5017123946,1
313199937,1900-01-01,,True,48.918443948,2.3940692483,1
313264145,1900-01-01,,True,48.910678357,2.3792881857,1
313333445,1900-01-01,,True,48.865213788,2.4281700583,1
313440042,1900-01-01,,True,48.862070955,2.4162660134,1
313523813,1900-01-01,SOFINAL,False,48.938102646,2.4599611428,2
313635765,1900-01-01,,True,48.873954638,2.4183791302,1
313686065,1900-01-01,,True,48.868931426,2.4231953949,1
313828196,1900-01-01,,True,48.917047569,2.3819490152,1
313884314,1900-01-01,FONDETEC,False,48.866442332,2.4266202701,2
313924482,1900-01-01,ATELIER J M,False,48.930164215,2.4803503619,2
314024035,1900-01-01,UNION DISTRIBUTION INT IMPORT EXPORT,False,48.902047202,2.3707481889,2
314132234,1900-01-01,,True,48.859097522,2.4210924097,1
314189374,1900-01-01,,True,48.915370343,2.3866850738,1
314270505,1900-01-01,ATELIERS SERRURERIE CONST META,False,48.862557893,2.4223338881,2
314317801,1900-01-01,LE PROFESSIONNEL DES TRAVAUX DU BATIMENT,False,48.929679597,2.4834298891,2
314372020,1900-01-01,,True,48.926178172,2.5163813817,1
314438771,1900-01-01,DUPLICATION ET PRESSAGE INDUSTRIEL,False,48.939255198,2.4435923338,2
314552241,1900-01-01,,True,48.922029325,2.392945339,1
314609769,1900-01-01,,True,48.929361959,2.4923282573,1
314672866,1900-01-01,,True,48.877836157,2.4348488534,1
314725243,1900-01-01,,True,48.928666455,2.4943488078,1
314760208,1900-01-01,,True,48.946274264,2.4545842447,1
314817024,1900-01-01,RUCANOR,False,48.955888838,2.4658094275,2
314856410,1900-01-01,,True,48.935544825,2.4683465908,1
314938614,1900-01-01,COBUNOR,False,48.955888838,2.4658094275,2
314985854,1900-01-01,,True,48.863365176,2.4152854831,1
315119842,1900-01-01,,True,48.948430747,2.5023437857,1
315131326,1900-01-01,AU PAVILLON BLEU,False,48.910914525,2.385149479,2
315178160,1900-01-01,,True,48.859483416,2.4216660328,1
315196238,1900-01-01,,True,48.920263606,2.4954504835,1
315207886,1900-01-01,,True,48.924789213,2.5155752003,1
315227066,1900-01-01,CARIAT ROBERT & GHIBAUT RICHARD,False,48.877091531,2.4331403416,2
315268912,1900-01-01,TRANSIT CLICHY VOYAGES,False,48.955888838,2.4658094275,2
315291484,1900-01-01,GAMMA ALPHA,False,48.926691939,2.4703541183,3
315365924,1900-01-01,,True,48.87237111,2.4313724817,1
315433359,1900-01-01,EUROLEADER,False,48.955787925,2.4794219208,2
315469601,1900-01-01,,True,48.869646692,2.4197768624,1
315512939,1900-01-01,,True,48.939846667,2.4499475091,1
315558221,1900-01-01,,True,48.943468262,2.4410531889,1
315601286,1900-01-01,,True,48.955888838,2.4658094275,1
315631119,1900-01-01,F P TRANSPORTS,False,48.951566304,2.4612552795,2
315681387,1900-01-01,ASSOCIATION  REGINA PACIS,False,48.870949001,2.4180505992,2
315733857,1900-01-01,CENTRE DE SOINS ST VINCENT,False,48.915563001,2.3839211145,2
315773291,1900-01-01,,True,48.868293575,2.4180033788,1
315826016,1900-01-01,,True,48.949527599,2.5080136808,1
315844225,1900-01-01,DOFIN,False,48.923396786,2.3688555314,2
315905190,1900-01-01,ESPACES VERTS SERVICES,False,48.937668031,2.4744675699,2
315974089,1900-01-01,,True,48.857800716,2.4179502179,1
316038652,1900-01-01,ECF-FACS,False,48.901548447,2.387771282,2
316084706,1900-01-01,GRAPHITOURS,False,48.858934921,2.423364946,2
316196997,1900-01-01,,True,48.950140449,2.5173505131,1
316215722,1900-01-01,,True,48.91727186,2.4071303742,1
316234830,1900-01-01,,True,48.932460288,2.501616197,1
316305929,1900-01-01,,True,48.936733193,2.4828309026,1
316406966,1900-01-01,,True,48.903512981,2.3833516417,1
316457084,1900-01-01,,True,48.87237111,2.4313724817,1
316528041,1900-01-01,,True,48.952989224,2.5128836716,1
316629831,1900-01-01,,True,48.937304804,2.4592421368,1
316677368,1900-01-01,INNOVATION 2000,False,48.926188677,2.5096722516,2
316779933,1900-01-01,STIC,False,48.923163409,2.5151771188,2
316789320,1900-01-01,TERISCO,False,48.867647837,2.4149567266,2
316790096,1900-01-01,TRANSPORTS SR,False,48.908928238,2.3712561503,2
